N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
34,LEO,SD,30-Jan-23,NA,21:38,10,241,-3.86991,-32.43901,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD na porção final da praia próximo as pedras, tentou subir em algumas pedras. Desceu 00:05."
35,LEO,SD,30-Jan-23,NA,02:30,11,332,-3.87004,-32.43793,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,3 camas. Desceu 3:35.
36,LEO,CD,31-Jan-23,17,20:40,11,334 (I) e 335 (P),-3.87013,-32.43768,F14,BRA 31326,NA,BRA 31335,NA,NA,NA,NA,NA,NA,114.5,105.5,SIM,#N17 31-Jan-2023 BRA 31326 BRA 31335,P,21309347,1/31/2023 22:16,3/23/2023 21:09,24-Mar-23,A,120,0,-3.87,-32.43778,23-Mar-23,23-Mar-23,SU,116,0,4,120,NAO,NA,51,96.67,Muitas cicatrizes de marcas; marca BRA 31326 na axila esquerda; pintada; fotos das marcas OK; desova proxima a linha de mare; 1 ovo anomalo pequeno; waypoint (p): 335 -- crab holes in the nest. 51 filhotes retidos embaixo de uma rocha.
37,LEO,SD,31-Jan-23,NA,NA,11,336,-3.8699,-32.43616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entre 2:50 e 3:50. SD proxima as pedras.
38,LEO,SD,1-Feb-23,NA,20:36,10,242,-3.87017,-32.43931,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desceu ~22:35; cova com pedras
39,LEO,CD,1-Feb-23,18,00:45,10,243,-3.87012,-32.43932,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,SIM,#N18 1-Feb-2023 BRA 31321 BRA 31309,I,21309301,2/2/2023 02:00,3/26/2023 03:49,26-Mar-23,NA,NA,NA,NA,NA,25-Mar-23,25-Mar-23,SU,92,2,2,96,NAO,NA,52,95.83,Pintada; desovou muito rapido; one abnormal egg
40,LEO,CD,1-Feb-23,19,02:58,10,244,-3.87014,-32.43757,F15,BRA 31302,BRA 31304,NA,NA,NA,NA,NA,NA,NA,113.2,107.6,SIM,#N19 1-Feb-2023 BRA 31302 BRA 31304,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Mar-23,27-Mar-23,SU,97,0,12,109,NAO,NA,53,88.99,"Muitas cicatrizes de marcas, colocamos marcas entre 2 e 3; pintada; fotos das marcas OK; 3 Stocked hatchlings"
41,LEO,CD,1-Feb-23,20,04:28,10,245 (I) e 246 (P),-3.87007,-32.43889,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,SIM,#N20 1-Feb-2023 BRA 31306 BRA 15325,P,NA,NA,NA,NA,A,148,0,-3.87008,-32.438,22-Mar-23,24-Mar-23,SU,136,3,9,148,NAO,NA,49,91.89,Pintada; tentei fazer fotos de ID; fotos das marcas OK
42,LEO,CD,2-Feb-23,21,20:40,11,337 (I) e 338 (P),-3.87021,-32.43768,F16,BRA 31336,NA,NA,BRA 31338,NA,NA,NA,NA,NA,105,96.1,SIM,#N21 02-Feb-2023 BRA 31336 BRA 31338,P,NA,NA,NA,NA,A,58,0,-3.87003,-32.43767,28-Mar-23,28-Mar-23,SU,41,1,16,58,NAO,NA,54,70.69,Pintada; photos das marcas ok; cicatrizes de marcas; desova próximo a linha de maré. Marca BRA 31336 colocada na axila esquerda e BRA 31338 na posterior direita.
43,LEO,CD,2-Feb-23,22,20:35,11,339,-3.86966,-32.43659,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,NA,NA,SIM,#N22 02-Feb-2023 BRA 21686 BRA 21685,I,21309315,2/3/2023 00:03,3/28/2023 04:14,28-Mar-23,NA,NA,1,NA,NA,27-Mar-23,27-Mar-23,SU,108,3,4,116,SIM,40,53,93.1,"Pintada; robusta; ninho próximo ao ninho 16. Antes de desovar fez 5 camas, quase caiu da duna; 1 abnormal medium egg."
