N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
NA,84,Leao,F1,21-Feb-21,ML,01:56,10,87,-3.87013,-32.43731,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 087 - F1 (BR 83209/ BRA 21740) - marcas não conferidas, tartaruga entrando na água.  "
NA,86,Leao,NA,21-Feb-21,ML,NA,11,92,-3.87055,-32.43807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 092. Entre 2:00 e 2:40.
NA,87,Leao,F2,22-Feb-21,ML,20:35,11,93,-3.87019,-32.4379,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 093 - F2.
NA,92,Leao,F19,23-Feb-21,ML,20:12,11,97,-3.87069,-32.43839,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 097 - marca com final 6201 (tartaruga entrando na água)
NA,93,Leao,NA,23-Feb-21,ML,21:35,11,98,-3.87072,-32.43811,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 098 (tartaruga entrando na água)
NA,95,Leao,NA,25-Feb-21,ML,NA,11,99,-3.86989,-32.43691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-099 Entre 2:20 e 3:15
NA,96,Leao,F20,26-Feb-21,ML,03:20,11,100,-3.86946,-32.43513,BRA 27957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-100 Tartaruga entrando na agua so foi possivel colocar uma marc (F20)
NA,97,Leao,F3,28-Feb-21,ML,20:05,10,91,-3.87019,-32.4382,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-091 F3
NA,101,Leao,NA,28-Feb-21,ML,NA,11,103,-3.86952,-32.43502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 103 Entre 21:37 e 22:38
NA,102,Leao,NA,1-Mar-21,ML,20:35,10,93,-3.87038,-32.43816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 093 Tartaruga entrando na água 
