N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
65,132,Leao,F13,9-Mar-21,CD,21:25,10,105,-3.87006,-32.4381,NA,NA,BRA 27948,BRA 27915,NA,NA,NA,SIM,#65 09/03/21 BRA 27948/ BRA 27915,I,NA,NA,NA,NA,NA,NA,NA,NA,27-Apr-21,27-Apr-21,SU,83,3,26,112,NAO,,49,74.1,GPS 10 - 105 - F13 (pintado lado direito retocado). Cavou um ninho antigo. 
66,137,Leao,F5,11-Mar-21,CD,20:07,10,107,-3.8698,-32.43715,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,27-Apr-21,27-Apr-21,SU,85,0,8,93,SIM - 32 filhotes,32,47,91.4,GPS 10 - 107 - F5 (pintada do lado esquerdo). 1 ovo anômalo pequeno.  
67,138,Leao,F3,11-Mar-21,CD,20:10,11,126,-3.87007,-32.43806,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,2-May-21,2-May-21,SU,106,1,7,114,NAO,,52,93,GPS 11 - 126 - F3 (esmalte retocado)
68,140,Leao,F10,11-Mar-21,CD,03:07,10,109,-3.87007,-32.43809,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,I,502118,3/12/2021 03:20,5/2/2021 20:24,NA,NA,NA,NA,NA,29-Apr-21,2-May-21,SU,72,2,36,110,NAO,,49,65.5,GPS 10 - 109 - F10 (esmalte retocado)
69,145,Leao,F22,13-Mar-21,CD,21:28,10,117,-3.86985,-32.43707,NA,NA,BRA 27959,BRA 21700,NA,NA,NA,SIM,#69 13/03/21 BRA 27959/BRA 21700,I,895562,3/14/2021 01:29,5/3/2021 00:10,NA,NA,NA,NA,NA,2-May-21,2-May-21,SU,65,4,32,101,SIM - 65 filhotes,65,50,64.4,GPS 10 - 117 - F22 (esmalte retocado). 
70,150,Leao,F17,13-Mar-21,CD,00:03,10,116,-3.8701,-32.43805,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,5-May-21,6-May-21,SU,79,1,6,86,SIM - 32 filhotes,32,53,91.9,GPS 10 - 116 - F17 (esmalte retocado).
71,155,Leao,F15,14-Mar-21,CD,20:18,10,119,-3.86992,-32.4374,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,3-May-21,5-May-21,SU,55,2,32,89,SIM - 28 filhotes,28,50,61.8,"GPS 10 - 119 - F15 (esmalte retocado). 6 filhotes emergidos dia 3-May-21, 18 emergidos dia 5-May-21 e 4 filhotes retidos; não foram encontrados 27 filhotes (somados aos emergidos e retidos totalizariam o número de casquinhas encontradas - 55 casquinhas)."
72,158,Leao,F23,14-Mar-21,CD,22:38,10,120,-3.86983,-32.43711,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,SIM,#72 14/03/21 BRA 27964/BRA 27965,I,NA,NA,NA,NA,NA,NA,NA,NA,1-May-21,1-May-21,SU,62,1,14,77,SIM - 62 filhotes,62,48,80.5,GPS 10 - 120 - F23 (pintada novamente).
73,160,Leao,F12,14-Mar-21,CD,01:40,11,135,-3.86967,-32.43657,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,4-May-21,4-May-21,SU,58,5,8,71,SIM - 58 filhotes,58,51,81.7,GPS 11 - 135 - F12 (esmalte retocado). 1 ovo anomalo pequeno.
74,167,Leao,F25,15-Mar-21,CD,21:22,11,136 (I) e 141 (P),-3.8702,-32.43992,BRA 27970,BRA 27971,NA,NA,NA,122.8,110.5,SIM,#74 15/03/21 BRA 27970/BRA 27971,P,NA,NA,NA,A,164,0,-3.87004,-32.43789,4-May-21,4-May-21,SU,76,24,60,160,SIM - 32 filhotes,32,50,47.5,"GPS 11 - 136 (I) e GPS 11 - 141 (P) - F25 (pintada). Desovou no final da praia, perto das pedras, aréa com perigo de inundação por chuva e por maré."
75,170,Leao,F9,15-Mar-21,CD,01:52,10,124,-3.87008,-32.43806,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,6-May-21,6-May-21,SU,108,1,0,109,NAO,,52,99.1,GPS 10 - 124 F9 (esmalte retocado).
76,171,Leao,F4,15-Mar-21,CD,04:20,11,143,-3.86994,-32.43771,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,7-May-21,7-May-21,SU,72,0,2,74,SIM - 32 filhotes,32,53,97.3,GPS 11 - 143 - F4 (esmalte retocado).
77,175,Leao,F2,16-Mar-21,CD,21:20,10,127,-3.86947,-32.43562,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896725,3/16/2021 23:29,5/4/2021 10:13,NA,NA,NA,NA,NA,3-May-21,3-May-21,SU,123,4,6,133,NAO,,48,92.5,GPS 10 - 127 - F2 (esmalte retocado).
78,176,Leao,F11,16-Mar-21,CD,22:48,11,148,-3.86995,-32.43743,NA,NA,BRA 27960,BRA 27924,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,5-May-21,6-May-21,SU,94,5,9,108,SIM - 32 filhotes,32,50,87,GPS 11 - 148 - F11 (esmalte retocado).
80,179,Leao,F20,17-Mar-21,CD,20:40,11,151,-3.86996,-32.43776,NA,NA,BRA 27957,BRA 27958,NA,NA,NA,SIM,#80 17/03/21 BRA 27957/BRA 27958,I,896705,3/17/2021 22:10,5/6/2021 20:53,NA,NA,NA,NA,NA,5-May-21,6-May-21,SU,64,16,22,102,SIM - 32 filhotes,32,49,62.7,GPS 11 - 151 - F20 (esmalte retocado).
79,180,Leao,F24,17-Mar-21,CD,22:55,11,150,-3.86971,-32.43675,NA,NA,BRA 27961,BR 83201,NA,114.5,105,SIM,#79 17/03/21 BRA 27961/ BR 83201,I,NA,NA,NA,NA,NA,NA,NA,NA,5-May-21,5-May-21,SU,46,0,45,91,SIM - 35 filhotes,35,49,50.5,GPS 11 - 150 - F24 (pintada). Foto ID ok. Craca na 3° placa lateral esquerda (foto). 
81,181,Leao,F16,18-Mar-21,CD,20:06,10,128,-3.86968,-32.4367,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,6-May-21,7-May-21,SU,158,0,11,169,SIM - 32 filhotes,32,49,93.5,GPS 10 - 128 - F16. 
82,182,Leao,F1,18-Mar-21,CD,20:15,10,130,-3.87,-32.43768,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-May-21,8-May-21,SU,117,1,9,127,NAO,,51,92.1,GPS 10 - 130 F1 (esmalte retocado)
83,186,Leao,F18,19-Mar-21,CD,21:47,10,131 (I) e 132 (P),-3.87042,-32.43909,NA,NA,BRA 27952,BRA 27954,NA,NA,NA,SIM,#83 19/03/21 BRA 27952/ BRA 27953,P,NA,NA,NA,A,100,0,-3.87001,-32.43784,7-May-21,7-May-21,SU,85,8,4,97,SIM - 33 filhotes,33,49,87.6,GPS 10 - 131 (I) e 132 (P) - F18. 1 ovo apresentou estrutura parecida com um ovo de galinha (com uma ponta). Desovou em área com perigo de inundação por maré.
84,187,Leao,F19,20-Mar-21,CD,20:10,10,133,-3.86939,-32.43571,NA,NA,BR 06201,BRA 27936,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-May-21,8-May-21,SU,104,2,3,109,SIM - 32 filhotes,32,49,95.4,GPS 10 - 133 - F19 (esmalte retocado). 
85,188,Leao,F13,20-Mar-21,CD,20:16,10,N85,-3.86974,-32.43738,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-May-21,8-May-21,SU,94,2,15,111,SIM - 32 filhotes,32,49,84.7,GPS 11 - N85 - F13 (esmalte retocado).
87,192,Leao,F10,22-Mar-21,CD,21:21,10,136,-3.87005,-32.43795,NA,NA,BR 77094,BRA 06231,NA,NA,NA,NAO,NA,I,881571,3/22/2021 23:05,5/11/2021 22:40,NA,NA,NA,NA,NA,10-May-21,11-May-21,SU,72,7,52,131,SIM - 35 filhotes,35,49,55,GPS 10 - 136 - F10 (esmalte retocado).
86,193,Leao,F3,22-Mar-21,CD,21:43,10,137,-3.86954,-32.43642,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,12-May-21,12-May-21,SU,122,2,6,130,SIM - 32 filhotes,32,51,93.8,GPS 10 - 137 - F3 (esmalte retocado).
88,195,Leao,F17,23-Mar-21,CD,21:30,11,157,-3.86998,-32.43757,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,11-May-21,14-May-21,SU,83,0,6,89,SIM - 32 filhotes,32,49,93.3,GPS 11 - 157 - F17 (esmalte retocado). 12 filhotes emergidos dia 11-May-2021 e o restante dos filhotes emergidos dia 14-May-2021. Na abertura foi encontrado um filhote predado sem cabeça.
89,196,Leao,F5,23-Mar-21,CD,21:31,10,138,-3.86987,-32.4373,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,13-May-21,13-May-21,SU,87,0,6,93,NAO,,51,93.5,GPS 10-138 F5 esmalte retocado. 1 ovo anômalo pequeno.
90,204,Leao,F12,26-Mar-21,CD,20:01,10,142,-3.86965,-32.4366,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,15-May-21,15-May-21,SU,87,1,2,90,SIM - 32 filhotes,32,50,96.7,GPS 10 - 142 - F12 (esmalte retocado).
91,205,Leao,F25,26-Mar-21,CD,20:03,11,162,-3.87003,-32.43792,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,SIM ,#91 26/03/2021 BRA 27970/ BRA 27971,I,NA,NA,NA,NA,NA,NA,NA,NA,16-May-21,16-May-21,SU,112,10,14,136,SIM - 96 filhotes,96,51,82.4,GPS 11 - 162 - F25 (esmalte retocado). Foto ID ok. 1 ovo anomalo pequeno.
92,206,Leao,F15,26-Mar-21,CD,20:04,10,143,-3.86987,-32.43742,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,14-May-21,14-May-21,SU,71,1,17,89,SIM - 71 filhotes,71,49,79.8,GPS 10 - 143 - F15 (esmalte retocado). Um filhote encontrado morto proximo  a superficie.
93,207,Leao,F9,26-Mar-21,CD,00:08,11,164,-3.86983,-32.43756,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-May-21,16-May-21,SU,110,4,1,115,SIM - 92 filhotes,92,51,95.7,"GPS 11 - 164 - F9 (esmalte retocado). Passou pela tela do ninho 18 e arrancou, tela recolocada."
94,208,Leao,F22,26-Mar-21,CD,00:12,11,163,-3.86961,-32.43692,NA,NA,BRA 21700,BRA 27959,NA,NA,NA,NAO,NA,I,880878,3/27/2021 01:23,5/17/2021 01:40,NA,NA,NA,NA,NA,16-May-21,16-May-21,SU,103,2,5,110,SIM - 32 filhotes,32,51,93.6,GPS 11 - 163 - F22 (esmalte retocado).
95,209,Leao,F2,27-Mar-21,CD,20:20,11,165,-3.87003,-32.43789,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896702,3/27/2021 20:29,5/18/2021 00:13,NA,NA,NA,NA,NA,17-May-21,17-May-21,SU,125,1,2,128,SIM - 32 filhotes,32,51,97.7,GPS 11 - 165 - F2 (esmalte retocado).
96,213,Leao,F24,30-Mar-21,CD,20:07,10,147,-3.86994,-32.4377,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-May-21,19-May-21,SU,42,1,52,95,SIM - 32 filhotes,32,50,44.2,GPS 10 - 147 - F24. Tartaruga flagrada no final do processo não foi possível realizar todos os procedimentos e o ninho foi encontrado depois que ela desceu.
97,217,Leao,NA,30-Mar-21,CD,NA,10,148,-3.86963,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-21,21-May-21,SU,94,0,2,96,NAO,,52,97.9,"GPS 10-148 Tartaruga subiu antes das 20:00 e nao foi flagrada, foi visto apenas a cama e o rastro de descida por volta de 22:40. Ninho não encontrado, mas será monitorado."
98,218,Leao,F13,31-Mar-21,CD,20:05,11,169,-3.86987,-32.43763,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-21,21-May-21,SU,103,3,3,109,SIM - 33 filhotes,33,51,94.5,"GPS 11 - 169 F13 (esmalte retocado). A caminho do mar foi encontrado 20 ovos em seu rastro de descida, avistado às 22:55. Os ovos foram depositados cenca de 2m do ninho e sinalizado com salsa e pedras ao redor. Na abertura foram encontrados 21 casquinhas, houve um erro de contagem dos ovos encontrados no rastro da tartaruga.  "
99,221,Leao,F19,1-Apr-21,CD,20:05,11,172,-3.87008,-32.43808,NA,NA,BRA 27936,BRA 06201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-21,22-May-21,SU,102,0,4,106,SIM - 32 filhotes,32,51,96.2,GPS 11 - 172 - F19 (esmalte retocado).
100,222,Leao,F3,2-Apr-21,CD,22:50,11,173,-3.86985,-32.43695,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-21,23-May-21,SU,105,1,4,110,NAO,,50,95.5,GPS 11 - 173 F3 (esmalte retocado)
101,223,Leao,F17,3-Apr-21,CD,02:56,11,174,-3.86984,-32.43723,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-May-21,24-May-21,SU,85,0,10,95,SIM - 32 filhotes,32,51,89.5,GPS 11 - 174 - F17 (esmalte retocado).
102,228,Leao,F9,6-Apr-21,CD,01:00,10,152,-3.87002,-32.43798,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,26-May-21,27-May-21,SU,107,0,1,108,NAO,,50,99.1,GPS 10 - 152 F9 (esmalte retocado)
104,230,Leao,F2,7-Apr-21,CD,20:10,11,175 (I) e 176 (P),-3.87006,-32.43861,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,123,0,-3.87001,-32.43764,24-May-21,24-May-21,SU,105,2,15,122,NAO,,47,86.1,GPS 11 -175 (I) E 176 (P) F2 (esmalte retocado).  Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva  (próximo da casinha).  
105,231,Leao,F15,7-Apr-21,CD,20:50,10,154,-3.87009,-32.43823,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,896718,4/7/2021 21:53,5/28/2021 22:48,NA,NA,NA,NA,NA,26-May-21,28-May-21,SU,64,1,15,80,SIM - 32 filhotes,32,49,80,GPS 10 - 154 - F15 (esmalte retocado). 1 filhote emergiu no dia 26-May-2021 e o restante dos filhotes emergidos no dia 28-May-2021. 2 ovos anômalos grandes.
103,232,Leao,F25,7-Apr-21,CD,00:10,11,177,-3.8699,-32.43743,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,895561,4/8/2021 01:49,5/28/2021 23:01,NA,NA,NA,NA,NA,28-May-21,28-May-21,SU,86,2,9,97,SIM - 32 filhotes,32,51,88.7,GPS 11 - 177 F25 (esmalte retocado).
106,236,Leao,F13,10-Apr-21,CD,20:18,11,179,-3.86978,-32.43739,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,30-May-21,31-May-21,SU,90,0,21,111,SIM - 32 filhotes,32,50,81.1,GPS 11 - 179 F13 (esmalte retocado).
107,237,Leao,F23,10-Apr-21,CD,20:18,10,158,-3.86997,-32.43749,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,28-May-21,29-May-21,SU,88,4,3,95,SIM - 32 filhotes,32,48,92.6,GPS 10 - 158 F23 (esmalte retocado).
108,238,Leao,F26,10-Apr-21,CD,21:42,11,180,-3.86952,-32.43659,NA,NA,BRA 27972,BRA 27973,NA,109.6,101.5,SIM,#108 10/04/2021 BRA 27972/ BRA 27973,I,896720,4/10/2021 22:40,5/31/2021 00:06,NA,NA,NA,NA,NA,30-May-21,30-May-21,SU,96,1,2,99,SIM - 96 filhotes,96,50,97,GPS 11 - 180 - F26 (pintada). Foto ID ok - Queloide próximo a nadadeira anterior direita (foto).
109,240,Leao,F24,11-Apr-21,CD,20:08,10,161,-3.86992,-32.43755,NA,NA,BRA 27961,BR 83201,NA,NA,NA,SIM,#109 11/4/21 BRA 27962 BR 83201,I,896722,4/11/2021 20:11,6/2/2021 05:40,NA,NA,NA,NA,NA,1-Jun-21,1-Jun-21,SU,58,1,37,96,SIM - 58 filhotes,58,51,60.4,GPS 10 - 161 F24 (esmalte retocado).
110,241,Leao,F19,13-Apr-21,CD,20:12,10,162,-3.86995,-32.43771,NA,NA,BRA 27936,BRA 06201,NA,NA,NA,NAO,NA,I,896701,4/13/2021 21:11,6/3/2021 22:00,NA,NA,NA,NA,NA,3-Jun-21,3-Jun-21,SU,80,4,3,87,SIM - 33 filhotes,33,51,92,GPS 10 - 162 F19 (esmalte retocado). Foi amostrado 32 filhotes vivos e 1 natimorto que estava em boas condições para ser amostrado.
111,242,Leao,F25,18-Apr-21,CD,20:09,11,185,-3.86997,-32.43756,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,896717,4/18/2021 21:40,6/8/2021 02:38,NA,NA,NA,NA,NA,7-Jun-21,7-Jun-21,SU,110,5,2,117,SIM - 32 filhotes,32,50,94,GPS 11 - 185 F25 (esmalte retocado).
112,243,Leao,F2,18-Apr-21,CD,20:09,11,186,-3.87007,-32.43793,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-Jun-21,9-Jun-21,SU,90,6,7,103,SIM - 32 filhotes,32,51,87.4,"GPS 11 - 186 F2 9esmalte retocado). Tirou parcialmente a tela do ninho 58, tela recolocada."
113,246,Leao,F9,18-Apr-21,CD,02:45,11,189 (I) e 188 (P) ,-3.87003,-32.43832,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,122,0,-3.87002,-32.43781,7-Jun-21,7-Jun-21,SU,104,5,5,114,SIM - 32 filhotes,32,50,91.2,"GPS 11 - 189 (I) e 188 (P) F9 (esmalte retocado).  Transferido por estar em aréa com perigo de inundação, desovou no riozinho temporário que se forma com a chuva, próximo a casinha. Devido a diferença econtrada no número de ovos transferidos e da abertura, foi feita a recontagem para confirmar. Havia muitas cascas despedaçadas o que pode ter influenciado a diferença."
114,247,Leao,F15,20-Apr-21,CD,20:17,11,190,-3.86964,-32.43705,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,896699,4/20/2021 21:10,6/11/2021 23:12,NA,NA,NA,NA,NA,11-Jun-21,11-Jun-21,SU,63,5,25,93,SIM - 32 filhotes,32,52,67.7,GPS 11 - 190 F15 (esmalte retocado).
115,248,Leao,F26,21-Apr-21,CD,00:26,11,191,-3.86968,-32.43678,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,SIM,#115 21/4/21 BRA 27972/ BRA 27973,I,896694,4/22/2021 01:33,6/13/2021 19:12,NA,NA,NA,NA,NA,12-Jun-21,13-Jun-21,SU,93,2,2,97,SIM - 32 filhotes,32,52,95.9,GPS 11 - 191 F26 (esmalte retocado).
116,251,Leao,F24,24-Apr-21,CD,20:08,10,165,-3.86998,-32.43776,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,13-Jun-21,13-Jun-21,SU,51,1,43,95,SIM - 27 filhotes ,27,50,53.7,GPS 10 - 165 F24 (esmalte retocado).
117,256,Leao,F25,30-Apr-21,CD,20:27,10,169,-3.87021,-32.43827,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun-21,30-Jun-21,SU,85,1,3,89,NAO,,53,95.5,GPS 10 - 169 - F25 (esmalte retocado). Aberto pelo TAMAR.
118,257,Leao,F27,1-May-21,CD,20:18,11,194,-3.87012,-32.4381,BRA 27974,BRA 27975,NA,NA,NA,110.2,100.6,SIM,#118 01/05/21 BRA 27974/ BRA 27975,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun-21,30-Jun-21,SU,71,0,9,80,NAO,,52,88.8,GPS 11 - 194 - F27 (pintada). Aberto pelo TAMAR.
119,258,Leao,F26,1-May-21,CD,20:20,11,195,-3.86997,-32.43775,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Jun-21,10-Jul-21,SU,98,3,12,112,NAO,,53,87.5,GPS 11 - 195 F26. Aberto pelo TAMAR.
120,261,Leao,F24,6-May-21,CD,20:10,10,173,-3.86965,-32.43695,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,29-Jun-21,10-Jul-21,SU,104,0,3,107,NAO,,54,97.2,"GPS 10 - 173. F24 (esmalte retocado). Derrubou a estaca e retirou a tela do ninho 81, ambas foram recolocada no lugar. "
121,263,Leao,F28,12-May-21,CD,21:30,10,175,-3.86941,-32.43554,BRA 27966,BRA 27967,NA,NA,NA,114.3,107.2,SIM,#121 12/05/21 BRA 27966/ BRA 27967,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Jul-21,SU,2,75,3,80,NAO,,,,"GPS 10 - 175 F28 (pintada). Foto ID ok. Temporariamente marcado com estaca 64. Aberto pelo TAMAR. Ninho com muitas raízes, os filhotes não conseguiram sair."
122,267,Leao,F26,13-May-21,CD,20:15,11,197,-3.87002,-32.43798,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,3-Jul-21,11-Jul-21,SU,77,3,8,88,NAO,,51,87.5,GPS 11 - 197 F26 (esmalte retocado). Aberto pelo TAMAR.
