N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
41,Leao,CD,24-Jan-20,31,20:20,10,N31,-3.86951,-32.43617,NA,NA,BR 83329,BRA 21627,NA,113.7,107,SIM,#31-24/01/20-BR83329/ BRA21627,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Mar-20,19-Mar-20,SU,91,2,20,113,53,NAO,GPS 10 - N31. 
42,Leao,CD,25-Jan-20,32,20:15,11,N32,-3.869515,-32.435984,NA,NA,BRA 21614,BRA 21615,NA,106.5,103.2,SIM,#32-25/01/20-BRA21614/ BRA21615,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Mar-20,19-Mar-20,SU,90,0,3,93,52,NAO,GPS 11 - N32. 1 ovo anomalo.
43,Leao,ML,25-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:30  e 22:30.
44,Leao,CD,25-Jan-20,33,22:25,11,N33,-3.870026,-32.437861,BRA 21603,NA,BR 53308,NA,NA,105,104,SIM,#33-25/01/20-BRA21603/ BR53308,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Mar-20,16-Mar-20,SU,83,1,8,92,51,SIM - 83 filhotes,GPS 11 - N33. Marca colocada na nad posterior esquerda. Carapaca anomala e cicatriz de queloide nas nadadeiras anteriores.
45,Leao,ML,27-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
46,Leao,CD,27-Jan-20,34,20:28,10,N34,-3.86963,-32.43631,NA,NA,BRA 21616,BRA 21617,NA,112.1,103.6,SIM,#34-27/01/20-BRA21616/ BRA21617,I,NA,NA,NA,NA,NA,NA,NA,NA,18-Mar-20,21-Mar-20,SU,93,0,6,99,51,NAO,GPS 10 - N34
47,Leao,CD,27-Jan-20,35,20:30,11,N35,-3.869856,-32.437215,NA,NA,BR 77078,BRA 21643,NA,124.5,114.6,SIM,#35-27/01/20-BR77078/ BRA21643,I, NA,NA,NA,NA,NA,NA,NA,NA,18-Mar-20,19-Mar-20,SU,110,0,6,116,51,NAO,GPS 11 - N 35
48,Leao,ML,27-Jan-20,NA,22:00,NA,NA,NA,NA,NA,NA,BR 98337,BRA 21618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tartaruga descendo.
49,Leao,SD,27-Jan-20,NA,22:08,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,124.7,109,SIM,#SD-27/01/20-BR20516/ BR20517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fez varias camas e desistiu, ficou na praia ate 2:30."
50,Leao,SD,28-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20. Comecou a cama e desceu.
