N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
258,Leao,SD,10-Mar-20,NA,20:14,NA,NA,NA,NA,NA,NA,BR 67308,BR 38658,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
259,Leao,SD,10-Mar-20,NA,20:14,NA,NA,NA,NA,NA,NA,BR 83271,BR 83272,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
260,Leao,CD,10-Mar-20,126,20:14,11,N126,-3.86996,-32.43774,NA,NA,BRA 21657,BRA 21658,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N126.
261,Leao,ML,10-Mar-20,NA,20:40,NA,NA,NA,NA,NA,NA,BRA 21660,BRA 21673,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
262,Leao,ML,10-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:15.
263,Leao,CD,10-Mar-20,127,20:10,10,N127,-3.86972,-32.43679,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NAO,NA,I,896722,3/10/2020 20:55,5/28/2020 09:16,NA,NA,NA,NA,NA,NA,28-May-20,SU,90,1,3,94,NA,NAO,GPS 10 - N127. Tiny Tag romoved by TAMAR.
264,Leao,CD,10-Mar-20,128,20:14,11,N128,-3.86987,-32.43725,NA,NA,BRA 21643,BR 77078,NA,NA,NA,NAO,NA,I,881571,3/10/2020 20:50,5/28/2020 08:35,NA,NA,NA,NA,NA,NA,28-May-20,SU,96,10,21,127,NA,NAO,GPS 11 - N128. Tiny Tag removed by TAMAR.
265,Leao,CD,10-Mar-20,129,20:14,11,N129,-3.87006,-32.43785,BRA 21689,BRA 21690,NA,NA,NA,115.1,103,SIM,#129-10/03/20-BRA21689/ BRA21690,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N129 - F37. Fotos ok.
266,Leao,CD,10-Mar-20,130,22:00,11,N130,-3.86983,-32.43719,NA,NA,BR 38658,BR 67308,NA,121,107,SIM,#130-10/03/20-BR38658/ BR67308,I,896717,3/10/2020 23:43,3/28/2020 08:48,NA,NA,NA,NA,NA,NA,28-May-20,SU,81,1,8,90,NA,NAO,"GPS 11 - N130 - F24. Cicatriz de copula, queloide nadadeira anterior esquerda. Tiny Tag removed by TAMAR."
267,Leao,CD,10-Mar-20,131,01:32,11,N131,-3.86962,-32.43689,NA,NA,BR 53308,BRA 21603,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N131.
268,Leao,CD,11-Mar-20,132,20:30,11,N132 e N132P ,-3.86451,-32.43596,NA,NA,BR 38691,BR 20597,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,105,0,-3.86952,-32.43609,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N132 e N132P.
269,Leao,CD,11-Mar-20,133,20:33,11,N133,-3.86963,-32.43627,NA,NA,BRA 21660,BRA 21673,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N133.
270,Leao,CD,11-Mar-20,134,20:34,11,N134,-3.869596,-32.43632,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,I,880878,3/11/2020 21:05,5/28/2020 09:26,NA,NA,NA,NA,NA,NA,28-May-20,SU,96,1,3,100,NA,NAO,GPS 11 - N134. Tiny Tag removed by TAMAR.
271,Leao,CD,11-Mar-20,135,20:35,11,N135,-3.89674,-32.43716,NA,NA,BRA 21618,BR 98337,NA,NA,NA,NAO,NA,I,896721,3/11/2020 21:11,5/28/2020 08:49,NA,NA,NA,NA,NA,NA,28-May-20,SU,86,4,11,101,NA,NAO,GPS 11 - N135 - F12. Fotos ok. Tiny Tag removed by TAMAR.
272,Leao,CD,11-Mar-20,136,20:35,11,N136,-3.86987,-32.43727,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,SIM,#136-11/03/20-BRA21647/ BRA21648,I,896694,3/11/2020 21:27,5/28/2020 08:40,NA,NA,NA,NA,NA,NA,28-May-20,SU,60,1,0,61,NA,SIM - 1 natimorto,GPS 11 - N136 . Tiny Tag removed by TAMAR.
273,Leao,ML,11-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:30.
274,Leao,ML,11-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:30 e 21:30.
275,Leao,SD,12-Mar-20,NA,20:30,NA,NA,NA,NA,NA,BR 83271,BR 83272,NA,NA,110.1,106.5,SIM,#SD-12/03/20-BR83271/ BR83272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coleta e biometria com a tartaruga voltando para o mar.
276,Leao,CD,12-Mar-20,137,20:40,10,N137,-3.86947,-32.43597,NA,NA,BRA 21614,BRA 21615,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N137.
277,Leao,CD,12-Mar-20,138,20:50,10,N138,-3.86376,-32.437,BRA 21666,BRA 21669,NA,NA,NA,111.1,105.5,SIM,#138-12/03/20-BRA21666/ BRA21669,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N138. Marcada descendo.
278,Leao,CD,12-Mar-20,139,20:55,10,N139,-3.87008,-32.4381,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,SIM,#139-12/03/10-BRA21625/ BRA21670,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 -N139 - F19.
279,Leao,CD,12-Mar-20,140,21:30,10,N140,-3.87001,-32.43788,BRA 21685,BRA 21686,NA,NA,BRA 21677,NA,NA,SIM,#140-12/03/10-BRA21685/ BRA21686,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N140. Marca BRA21677 aberta.
280,Leao,CD,13-Mar-20,141,20:35,10,N141,-3.86978,-32.43675,NA,NA,BRA 21681,BRA 21682,NA,NA,NA,SIM,#141- 13/03/20- BRA 21681/ BRA 21682,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N141.
281,Leao,SD,13-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
282,Leao,ML,13-Mar-20,NA,20:50,NA,NA,NA,NA,NA,NA,BR 83271,BR 83272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
283,Leao,ML,13-Mar-20,NA,20:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
284,Leao,CD,13-Mar-20,142,23:07,10,N142,-3.86992,-32.43754,NA,NA,BR 83271,BR 83272,NA,111.2,106.3,SIM,#142- 13/3/20- BR 83271/ BR 83272,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 10 - N142
285,Leao,CD,13-Mar-20,143,02:00,11,N143,-3.86986,-32.43723,BRA 21684,NA,BRA 21645,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N143.
286,Leao,ML,14-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 00:20 e 01:20.
287,Leao,ML,14-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
288,Leao,ML,14-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
289,Leao,ML,14-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
290,Leao,CD,14-Mar-20,144,20:35,11,N144,-3.8699,-32.43744,BRA 21695,BRA 21696,NA,NA,NA,106.8,101,SIM,#144-14/03/20-BRA21695/ BRA21696,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N144 - F41.
291,Leao,CD,14-Mar-20,145,21:00,11,N145,-3.86994,-32.43744,NA,NA,BR 83329,BRA 21627,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N145 - F9. Cavou proximo a um ninho antigo.
292,Leao,ML,14-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 23:00 e 00:00.
293,Leao,CD,14-Mar-20,146,02:06,11,N146,-3.86993,-32.43765,NA,NA,BRA 21649,BRA 21650,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N146 - F16.
294,Leao,ML,15-Mar-20,NA,20:35,NA,NA,NA,NA,NA,NA,BRA 21665,BRA 21623,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
295,Leao,CD,15-Mar-20,147,20:40,10,N147,-3.86953,-32.43691,NA,NA,BRA 21662,BRA 21676,NA,NA,NA,SIM,#147-15/03/20-BRA21662/ BRA21676,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N147 - F30.
296,Leao,CD,15-Mar-20,148,21:43,11,N148,-3.87003,-32.43782,NA,NA,BRA 21665,BRA 21623,NA,NA,NA,SIM,#148-15/03/20-BRA21665/ BRA21623,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N148.
297,Leao,ML,15-Mar-20,NA,01:53,NA,NA,NA,NA,NA,NA,BRA 21679,BRA 21680,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
298,Leao,CD,16-Mar-20,149,20:32,11,N149,-3.87009,-32.43805,NA,NA,BRA 21679,BRA 21680,NA,NA,NA,SIM,#149-16/03/20-BRA 21679/ BRA21680,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N149.
299,Leao,ML,16-Mar-20,NA,22:45,NA,NA,NA,NA,NA,NA,BRA 21653,BRA 21654,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
300,Leao,CD,17-Mar-20,150,21:16,11,N150,-3.87011,-32.43808,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,SIM,#150-17/3/20-BRA 21663/ BRA 21664,I,896720,3/17/2020 22:50,5/28/2020 07:38,NA,NA,NA,NA,NA,NA,28-May-20,PA,20,2,6,28,NA,NAO,GPS 11 - N150. Tiny Tag removed by TAMAR. Predated by Teju.
301,Leao,CD,17-Mar-20,151,20:35,10,N151,-3.86987,-32.43732,NA,NA,BRA 21613,BRA 21626,NA,118.4,NA,SIM,#151-17/03/20- BRA 21613/ BRA 21626,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N151. Desenterou um ovo de outro ninho (61 ou 83).
302,Leao,ML,17-Mar-20,NA,20:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
303,Leao,ML,17-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 23:15 e 00:15.
304,Leao,SD,17-Mar-20,NA,01:50,NA,NA,NA,NA,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
305,Leao,ML,18-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:30.
306,Leao,ML,18-Mar-20,NA,21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
307,Leao,ML,18-Mar-20,NA,21:00,NA,NA,NA,NA,NA,NA,BRA 21653,BRA 21654,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
308,Leao,SD,18-Mar-20,NA,20:40,NA,NA,NA,NA,NA,NA,BRA 21632,BRA 21641,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
309,Leao,CD,18-Mar-20,152,00:07,11,N152,-3.86986,-32.43729,NA,NA,BRA 21653,BRA 21654,NA,NA,NA,SIM,#152-18/03/20-BRA 21653/ BRA 21654,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N152. 
310,Leao,ML,18-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência ente 21:20 e 22:30.
311,Leao,CD,18-Mar-20,153,03:40,11,N153,-3.86943,-32.4356,NA,NA,BRA 21602,BR 26380,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11- N 153
312,Leao,ML,19-Mar-20,NA,20:24,NA,NA,NA,NA,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
313,Leao,ML,19-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
314,Leao,ML,19-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
315,Leao,ML,19-Mar-20,NA,00:23,NA,NA,NA,NA,NA,NA,BRA 21687,BRA 21688,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
316,Leao,CD,19-Mar-20,154,00:30,11,N154,-3.86952,-32.4364,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11-N 154
317,Leao,ML,19-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1:55 e 2:20.
318,Leao,ML,20-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:15.
319,Leao,ML,20-Mar-20,NA,21:17,NA,NA,NA,NA,NA,NA,BRA 21657,BRA 21658,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
320,Leao,SD,20-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:20 e 22:20.
321,Leao,ML,20-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:20 e 22:20.
322,Leao,CD,20-Mar-20,155,22:40,11,N155,-3.86984,-32.43726,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,SIM,#20/3/20-BRA 21668/ BRA 21667- N155,I,896718,3/20/2020 23:17,5/28/2020 08:42,NA,NA,NA,NA,NA,NA,28-May-20,SU,86,3,11,100,NA,SIM - 1 natimorto,GPS 11 - N155. Ninho com muita raiz. Tiny Tag removed by TAMAR.
323,Leao,CD,20-Mar-20,156,20:21,11,N156,-3.87009,-32.43809,NA,NA,BRA 21687,BRA 21688,NA,NA,NA,NAO,NA,I,896712,3/20/2020 21:09,5/28/2020 07:40,NA,NA,NA,NA,NA,NA,28-May-20,SU,90,0,6,96,NA,NAO,GPS 11 - N156. Tiny Tag removed by TAMAR.
324,Leao,CD,20-Mar-20,157,20:15,11,N157,-3.86992,-32.43747,NA,NA,BRA 21646,BRA 21659,NA,NA,NA,SIM,#20/3/20- BRA 21659/ BRA 21646 - N157,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N157.
325,Leao,CD,20-Mar-20,158,22:40,11,N158,-3.87004,-32.438,NA,NA,BRA 21689,BRA 21690,NA,NA,NA,SIM,#158- 20/03/20- BRA 21689/ BRA 21690,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N158.
326,Leao,CD,20-Mar-20,159,23:40,11,N159,-3.86968,-32.43663,NA,NA,BR 20597,BR 38691,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N159.
327,Leao,CD,20-Mar-20,160,01:00,10,N160,-3.87003,-32.4378,NA,NA,BR 67308,BR 38658,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N160.
328,Leao,SD,20-Mar-20,NA,01:03,NA,NA,NA,NA,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
329,Leao,ML,20-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 2:00 e 3:00.
330,Leao,ML,20-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 2:00 e 3:00.
331,Leao,ML,20-Mar-20,NA,02:09,NA,NA,NA,NA,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
332,Leao,ML,20-Mar-20,NA,03:11,NA,NA,NA,NA,NA,NA,BRA 21603,BR 53308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
333,Leao,ML,21-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:15.
334,Leao,ML,21-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:15 e 21:15.
335,Leao,CD,21-Mar-20,161,20:30,10,N161,-3.86987,-32.43856,NA,NA,BRA 21618,BR 98337,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 10 - N161 - F12.
336,Leao,CD,21-Mar-20,162,20:22,11,N162,-3.87006,-32.43821,NA,NA,BRA 21657,BRA 21658,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N162.
337,Leao,ML,21-Mar-20,NA,22:38,NA,NA,NA,NA,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
338,Leao,CD,21-Mar-20,163,22:57,10,N163,-3.87,-32.43783,NA,NA,BRA 21603,BR 53308,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 10 - N163 - F14.
339,Leao,ML,21-Mar-20,NA,23:26,NA,NA,NA,NA,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
340,Leao,CD,21-Mar-20,164,23:33,11,N164,-3.86994,-32.43746,BRA 21782,BRA 21783,NA,NA,NA,103.1,95.5,SIM,#164-21/3/20-BRA 21682/ BRA 21683,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N164 - F41. Foto ok. Quelóide próximo a nadadeira esquerda (foto).
341,Leao,CD,21-Mar-20,165,23:45,10,N165,3.86976,32.43694,NA,NA,BRA 21643,BR 77078,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N165.
342,Leao,ML,21-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 00:00 e 1:00.
343,Leao,CD,21-Mar-20,166,02:00,11,N166,-3.8696,-32.43634,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N166.
344,Leao,ML,22-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
345,Leao,SD,22-Mar-20,NA,20:29,NA,NA,NA,NA,NA,NA,BRA 21681,BRA 21682,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
346,Leao,ML,22-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:30 e 21:30.
347,Leao,ML,22-Mar-20,NA,21:38,NA,NA,NA,NA,NA,NA,BRA 21625,BRA 21670,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
348,Leao,ML,22-Mar-20,NA,23:16,NA,NA,NA,NA,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
349,Leao,CD,22-Mar-20,167,02:25,10,N167,-3.86999,-32.43762,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10  - N167.
350,Leao,CD,22-Mar-20,168,02:25,10,N168,-3.86987,-32.43769,NA,NA,BRA 21625,BRA 21670,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N168.
