N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
1,Leao,SD,NA,20-Dec-2020,1,NA,11,ND 1,-3.86950,-32.43648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - ND 1. Não foram encontrados os ovos, foi mantida uma estaca (numero 1). Não houve eclosão, ocorrência ND modificada para SD."
2,Leao,ML,NA,24-Dec-2020,NA,NA,11,ML24-12-20,-3.86965,-32.43647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML24-12-20.
3,Leao,SD,F1,25-Dec-2020,NA,21:45,11,SD 25/12,-3.86991,-32.43761,BRA 21740,NA,BR 83209,NA,NA,104,97.5,SIM,#SD-25/12/20 BR 83209/BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD 25/12 - F1.
4,Leao,SD,NA,28-Dec-2020,2,NA,11,4,-3.86971,-32.43684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 4. Não foram encontrados os ovos, foi mantida uma estaca (numero 2). Não houve eclosão, ocorrência ND modificada para SD. "
5,Leao,ML,NA,29-Dec-2020,NA,NA,11,ML 29/12/20,-3.86958,-32.43650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML 29/12/20.
6,Leao,CD,NA,29-Dec-2020,3,NA,11,6,-3.86932,-32.43627,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Feb-2021,17-Feb-2021,SU,53,7,45,105,NÃO,,49,50.5,GPS 11 - 6.
7,Leao,SD,NA,03-Jan-2021,NA,NA,11,SD03-01-21,-3.86989,-32.43760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD03-01-21.
8,Leao,CD,NA,03-Jan-2021,4,NA,11,8,-3.86946,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Feb-2021,19-Feb-2021,SU,50,3,17,68,SIM - 48 filhotes,48,47,73.5,GPS 11 - 8. Fêmea desconhecida (não flagrada). 1 ovo anômalo. 2 filhotes morreram após a abertura do ninho. Ninho coletado para teste. 
9,Leao,ML,NA,13-Jan-2021,NA,NA,11,34,-3.86928,-32.43651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 034. Ocorrência antes das 20:15.
10,Leao,ML,NA,13-Jan-2021,NA,NA,11,35,-3.87004,-32.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 035. Ocorrência entre 00:00 e 1:10.
11,Leao,SD,F1,14-Jan-2021,NA,23:40,10,51,-3.86996,-32.43734,NA,NA,BR 83209,BRA 21740,NA,104,98.7,SIM,14/01/21 BR 83209/ BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 051 - F1. Foto ID ok.
12,Leao,CD,F1,15-Jan-2021,5,19:50,11,36,-3.86957,-32.43716,NA,NA,BR 83209,BRA 21740,NA,105,97,SIM,#5-15/01/21 BR 83209/ BRA 21740,I,896711,15-Jan-2021 22:21,04-Mar-2021 00:59,NA,NA,NA,NA,NA,02-Mar-2021,03-Mar-2021,SU,32,6,72,110,SIM - 32 filhotes,32,46,29.1,"GPS 11 - 036 - F1. Foto ID ok. Na noite do dia 2-Mar-21 foi encontrado um único filhote às 3:30; liberado ao mar. No dia 3-Mar-21, três filhotes emergiram às 00:59 e os demais vivos que estavam próximo a superficie foram coletados para amostragem.  "
13,Leao,CD,F2,16-Jan-2021,6,20:30,10,52,-3.87003,-32.43782,BRA 27902,NA,BR 38662,NA,NA,119.5,113,SIM,#6- 16/01/21 BRA 27902/ BR 38662,I,895562,16-Jan-2021 21:12,07-Mar-2021 21:15,NA,NA,NA,NA,NA,05-Mar-2021,07-Mar-2021,SU,66,23,14,103,SIM - 66 filhotes,66,48,64.1,"GPS 10 - 052 - F2. Foto ID ok. 2 filhotes emergidos e coletados no dia 5-Mar-21, 42 filhotes emergidos dia 7-Mar-21 e 22 filhotes retidos.  "
14,Leao,CD,NA,17-Jan-2021,7,NA,11,NEST 7,-3.86951,-32.43615,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,08-Mar-2021,09-Mar-2021,SU,57,5,44,106,NA,,50,53.8,GPS 11 - NEST 7. Ocorrência após às 3:10. 1 ovo anomalo  pequeno e 1 filhote encontrado morto na vegetacao (seco). Ninho com muitas raizes que envolviam a parte exterior dos ovos nao eclodidos
15,Leao,SD,F3,21-Jan-2021,NA,1:43,11,37,-3.86976,-32.43681,BRA 27905,NA,BR 67305,NA,NA,106,102,SIM,21/01/21 BR 67305/ BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 037 - F3.
16,Leao,CD,F3,22-Jan-2021,8,21:30,11,38,-3.86967,-32.43651,NA,NA,BR 67305,BRA 27905,NA,106,104,SIM,#8-22/01/21 BR 67305/ BRA 27905,I,896725,22-Jan-2021 23:06,12-Mar-2021 20:38,NA,NA,NA,NA,NA,12-Mar-2021,12-Mar-2021,SU,48,17,21,86,SIM - 47 filhotes,47,49,55.8,GPS 11 - 038 - F3. Foto ID ok. Marca BR 67305 na nadadeira posterior esquerda e BRA 27905 na nadadeira anterior esquerda.  
17,Leao,ML,F5,25-Jan-2021,NA,20:15,10,53,-3.87009,-32.43814,BRA 27906,BRA 27907,NA,NA,NA,110.1,101.5,SIM,25/01/21 BRA 27906/ BRA 27907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 053 - F5.
18,Leao,CD,F4,25-Jan-2021,9,22:40,11,39,-3.86998,-32.43784,BRA 27908,BRA 27909,NA,NA,NA,108.5,95.5,SIM,#9-25/01/21 BRA 27908/ BRA 27909,I,880878,25-Jan-2021 22:58,15-Mar-2021 23:05,NA,NA,NA,NA,NA,13-Mar-2021,15-Mar-2021,SU,44,1,3,48,SIM - 43 filhotes,43,47,91.7,"GPS 11 - 039 - F4. Foto ID ok. 1 filhote emergido e coletado dia 13-Mar-21, 41 filhotes emergidos e coletados dia 15-Mar-21 e 1 filhote retido e coletado dia 15-Mar-21.  "
19,Leao,CD,F5,26-Jan-2021,10,20:23,10,54,-3.86984,-32.43725,NA,NA,BRA 27906,BRA 27907,NA,110,101.5,SIM,#10- 25/01/21- BRA 27907/ BRA 27906,I,896705, 26-Jan-2021 20:23,16-Mar-2021 20:58,NA,NA,NA,NA,NA,15-Mar-2021,16-Mar-2021,SU,24,4,44,72,NAO,,48,33.3,"GPS 10 - 054 - F5. Foto ID ok. No dia 10-Mar-21 foi procurado o ninho para ser telado e os ovos nao foram encontrados. Tiny Tag foi encontrado bem na superficie e ficou fora das 00:13 as 1:15. Durante a abertura do ninho foi encontrado um outro ninho bem proximo, provavelmente o ninho 42. O tiny tag nao estava dentro do ninho."
20,Leao,CD,F6,26-Jan-2021,11,20:16,10,55,-3.86971,-32.43679,BRA 27903,BRA 27904,NA,NA,BRA 06140,108,103.8,SIM,#11 - 26/01/21 - BRA 27903/ BRA 27904,I,881571,26-Jan-2021 21:49,16-Mar-2021 02:10,NA,NA,NA,NA,NA,15-Mar-2021,15-Mar-2021,SU,76,4,21,101,SIM - 76 fihotes,76,48,75.2,GPS 10 - 055 - F6. Foto ID ok. Marca BRA 27903 colocada entre a segunda e terceira escama da nadadeira esquerda e marca BRA 27904 colocada na axila da nadadeira direita.
21,Leao,SD,NA,26-Jan-2021,NA,NA,11,42,-3.87025,-32.43964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 042. Ocorrencia antes das 20:23.
22,Leao,ML,NA,27-Jan-2021,NA,NA,10,56,-3.86949,-32.43529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 056 - Antes das 20:00.
23,Leao,ML,NA,27-Jan-2021,NA,2:14,10,57,-3.86968,-32.43612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 057. Tartaruga vista subindo as pedras, não foi possível ver quem era. "
24,Leao,CD,F1,28-Jan-2021,12,19:50,11,NEST 12,-3.86978,-32.43731,NA,NA,BRA 21740,BR 83209,NA,104,96.5,NAO,NA,I,896702,28-Jan-2021 21:19,20-Mar-2021 22:41,NA,NA,NA,NA,NA,18-Mar-2021,20-Mar-2021,SU,104,4,10,118,NAO,,49,88.1,GPS 11 - 043 - F1.
25,Leao,ML,NA,28-Jan-2021,NA,NA,11,45,-3.87025,-32.43973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 045. Ocorrencia antes de 19:55
26,Leao,SD,F2,28-Jan-2021,NA,20:15,11,44,-3.86990,-32.43737,NA,NA,BRA 27902,BR 38662,NA,119,113,SIM,28/01/21 - BR 38662 / BRA 27902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 044 - F2 (estava pintado lado direito). Desceu 22:30 fez 4 camas.
27,Leao,CD,F2,29-Jan-2021,13,20:05,10,58,-3.86990,-32.43738,NA,NA,BRA 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896721,29-Jan-2021 21:15,19-Mar-2021 21:13,NA,NA,NA,NA,NA,18-Mar-2021,19-Mar-2021,SU,107,4,7,118,NAO,,48,90.7,GPS 10 - 058 - F2.
28,Leao,CD,F7,29-Jan-2021,14,19:59,10,59,-3.86948,-32.43653,BRA 27917,BRA 27918,NA,NA,NA,103.4,96.96,SIM,#14- 29/01/21- BRA 27917/ BRA 27918,I,896718,29-Jan-2021 21:29,20-Mar-2021 21:05,NA,NA,NA,NA,NA,19-Mar-2021,20-Mar-2021,SU,91,0,3,94,SIM -  91 filhotes,91,49,96.8,"GPS 10 - 059 - F7 - Foto ID ok. 2 ovos anômalos. 83 filhotes emergidos dia 19-Mar-21, 1 filhote emergido dia 20-Mar-21 e 7 retidos. "
29,Leao,ML,NA,30-Jan-2021,NA,NA,11,46,-3.86999,-32.43701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 046. Ocorrência entre 00:20 e 1:22
30,Leao,CD,F8,01-Feb-2021,15,20:18,10,60,-3.86977,-32.43766,BRA 27901,BRA 27927,NA,NA,NA,105.2,99,SIM,#15- 01/02/21-BRA 27901/ BRA 27927,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Mar-2021,23-Mar-2021,SU,51,9,4,64,SIM - 52 filhotes,52,49,79.7,"GPS 10 - 060 - F8. Sem Tiny Tag pois a tartaruga foi flagrada no final da desova, foi colocao uma planta na direcao da cloaca."
31,Leao,ML,F3,03-Feb-2021,NA,21:16,11,ML,-3.86979,-32.43674,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML - F3.
32,Leao,SD,NA,04-Feb-2021,NA,NA,11,48,-3.87042,-32.43807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 048. Ocorrência entre 00:15 e 1:30.
33,Leao,ML,F9,05-Feb-2021,NA,20:10,10,61,-3.86978,-32.43851,BRA 27925,BRA 27931,NA,NA,NA,110.3,98.3,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 061 - F9. Ambas as marcas colocadas entre a segunda e terceira escama das nadadeiras posteriores.
34,Leao,ML,F10,05-Feb-2021,NA,22:57,11,49,-3.87025,-32.43820,NA,NA,BR 77094,BRA 06231,NA,118,107,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 049 - F10. Marca BR 77094 na nad posterior direita e BRA 06231 na anterior esquerda.
35,Leao,ML,F11,05-Feb-2021,NA,1:30,10,62,-3.87064,-32.43872,BRA 27923,BRA 27924,NA,NA,NA,104,98.4,SIM,05/02/21- BRA 27923/BRA 27924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 062 - F11. Apenas 1 pedaco de tecido coletado.
36,Leao,ML,F9,06-Feb-2021,NA,20:19,10,63,-3.87052,-32.43962,NA,NA,BRA 27931,BRA 27925,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 063 - F9.
37,Leao,CD,F9,06-Feb-2021,16,0:15,10,65,-3.86943,-32.43567,NA,NA,BRA 27931,BRA 27925,NA,110.6,97.5,SIM,#16- 06/02/21- BRA 27925/ BRA 27931,I,896720,07-Feb-2021 01:06,28-Mar-2021 00:20,NA,NA,NA,NA,NA,26-Mar-2021,27-Mar-2021,SU,87,2,4,93,SIM - 32 filhotes,32,48,93.5,GPS 10 - 065 - F9. 1 ovo anômalo pequeno. 
38,Leao,ML,NA,06-Feb-2021,NA,NA,10,64,-3.86951,-32.43525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 064. Ocorrência entre 23:00 e 00:00.
39,Leao,ML,NA,06-Feb-2021,NA,NA,11,51,-3.86828,-32.43596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 051. Ocorrência entre 00:15 e 1:20.  
40,Leao,CD,F11,06-Feb-2021,17,1:37,10,66,-3.87001,-32.43802,NA,NA,BRA 27923,BRA 27924,NA,103.5,98.7,SIM,#17- 06/02/21- BRA 27923/ BRA 27924,I,895561,07-Feb-2021 03:42,27-Mar-2021 22:05,NA,NA,NA,NA,NA,26-Mar-2021,27-Mar-2021,SU,70,2,23,95,SIM - 32 filhotes,32,48,73.7,GPS 10 - 066 - F11.
41,Leao,ML,F5,07-Feb-2021,NA,20:25,11,63,-3.87001,-32.43927,NA,NA,BRA 27906,BRA 27907,NA,110,102,SIM,07/02/21- BRA 27906/ BRA 27907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 063 - F5 (estava pintada do lado direito).
42,Leao,CD,F10,07-Feb-2021,18,21:37,10,67,-3.86997,-32.43760,NA,NA,BRA 77094,BRA 06231,NA,118.5,108.2,SIM,#18-07/02/21- BRA 06231/ BR 77094,I,896717,07-Feb-2021 22:29,27-Mar-2021 22:40,NA,NA,NA,NA,NA,25-Mar-2021,27-Mar-2021,SU,71,5,39,115,SIM - 34 filhotes ,34,46,61.7,GPS 10 - 067 - F10. 18 filhotes emergidos dia 25-Mar-2021 e o restante dos filhotes emergidos dia 26-Mar-21.
43,Leao,ML,F6,07-Feb-2021,NA,0:30,11,64,-3.86976,-32.43722,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 064 - F6. Marca BRA 27903 entre 2° e 3° escama esquerda e BRA 27904 na axila direita.
44,Leao,CD,F4,07-Feb-2021,19,1:20,11,65,-3.87000,-32.43803,NA,NA,BRA 27908,BRA 27909,NA,108.5,95,SIM,#19 - 07/02/21 - BRA 27908/ BRA 27909,I,896699,08-Feb-2021 02:32,30-Mar-2021 21:49,NA,NA,NA,NA,NA,29-Mar-2021,30-Mar-2021,SU,73,0,6,79,NAO,,50,92.4,GPS 11 - 065 - F4. 1 ovo anomalo pequeno.
45,Leao,CD,F5,07-Feb-2021,20,2:59,10,68,-3.86984,-32.43713,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Mar-2021,26-Mar-2021,SU,77,8,9,94,SIM - 34 filhotes ,34,45,81.9,"GPS 10 - 068 - F5. 2 filhotes emergidos dia 24-Mar-21 (não amostrado), 2 filhotes emergidos 25-Mar-21 e o restante dos filhotes emergidos dia 26-Mar-21."
46,Leao,CD,F12,08-Feb-2021,21,3:00,11,66,-3.87004,-32.43800,BRA 27932,BRA 27934,NA,NA,NA,103,93.2,SIM,#21 - 08/02/21 - BRA 27932/ BRA 27934,I,881575,09-Feb-2021 04:13,31-Mar-2021 00:20,NA,NA,NA,NA,NA,26-Mar-2021,30-Mar-2021,SU,72,23,8,103,SIM - 58 filhotes,58,46,69.9,"GPS 11 - 066 - F12. 1 filhote emergido dia 26-Mar-2021, 2 filhotes emergidos 26-Mar por volta das 11:00 da manhã (um guarda parque da Econoronha avisou que havia filhotes no ninho), 35 filhotes emergidos dia 29-Mar-2021 e 20 retidos.  "
47,Leao,ML,F1,09-Feb-2021,NA,20:10,11,67,-3.86950,-32.43534,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 067 - F1.
48,Leao,ML,F2,09-Feb-2021,NA,21:37,11,68,-3.86990,-32.43755,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 068 - F2.
49,Leao,ML,NA,09-Feb-2021,NA,NA,10,69,-3.87023,-32.43650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 069. Ocorrência entre 20:30 e 21:40.
50,Leao,ML,F1,09-Feb-2021,NA,0:22,11,69,-3.86981,-32.43735,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 069 - F1.
51,Leao,SD,F1,09-Feb-2021,NA,2:59,11,71,-3.86971,-32.43678,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 071 - F1.
52,Leao,CD,F1,10-Feb-2021,22,20:10,10,70,-3.86960,-32.43648,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,I,896722,10-Feb-2021 21:03,02-Apr-2021 20:50,NA,NA,NA,NA,NA,01-Apr-2021,02-Apr-2021,SU,84,31,12,127,SIM - 32 filhotes,32,50,66.1,GPS 10 - 070 - F1.
53,Leao,CD,F6,10-Feb-2021,23,20:20,11,72 (I) e 73 (P),-3.87029,-32.43887,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,91,0,-3.87001,-32.43800,03-Apr-2021,04-Apr-2021,SU,67,2,21,90,NAO,,52,74.4,GPS 11 - 072 (I) e 073 (P) - F6. 3 ovos anômalos. Transferido por estar em aréa com perigo de inundação. Desovou na porção final da praia. 
54,Leao,ML,F2,10-Feb-2021,NA,23:21,10,71,-3.87062,-32.43849,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 071 - F2.
55,Leao,CD,F2,11-Feb-2021,24,20:20,10,72,-3.86980,-32.43704,NA,NA,BRA 27902,BR 38662,NA,NA,NA,SIM,#24-11/02/21- BRA 27902/ BR 38662,I,896694,11-Feb-2021 21:15,02-Apr-2021 23:19,NA,NA,NA,NA,NA,01-Apr-2021,02-Apr-2021,SU,75,31,10,116,SIM - 32 filhotes,32,49,64.7,GPS 10 - 072 - F2.
56,Leao,SD,F7,11-Feb-2021,NA,21:42,10,73,-3.86973,-32.43703,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 073 - F7.
57,Leao,ML,F13,11-Feb-2021,NA,2:10,11,74,-3.87068,-32.43852,BRA 27915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 074. Tartaruga entrando na agua.
58,Leao,CD,F7,11-Feb-2021,25,3:04,10,74,-3.86953,-32.43636,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,SIM,#25- 11/02/21- BRA 27917/ BRA 27918,I,896701,12-Feb-2021 04:17, 10-Apr-2021 01:01,NA,NA,NA,NA,NA,NA,09-Apr-2021,SU,88,0,10,98,NAO,,,,GPS 10 - 074 - F7.
59,Leao,SD,F14,13-Feb-2021,NA,21:30,10,75,-3.86948,-32.43566,BRA 27938,BRA 27937,NA,NA,NA,110.4,104,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 074 - F14. Marca BRA 27937 colocada acidentalmente em cima da segunda escama da escama da nad direita (tartaruga andando). 
60,Leao,ML,F14,14-Feb-2021,NA,21:36,10,76,-3.87029,-32.43798,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 076 - F14.
61,Leao,CD,F3,16-Feb-2021,26,20:23,10,77,-3.87011,-32.43732,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,896712,16-Feb-2021 22:42,10-Apr-2021 02:17,NA,NA,NA,NA,NA,NA,09-Apr-2021,SU,95,0,5,100,NAO,,,,GPS 10 - 077 - F3 (esmalte retocado).
62,Leao,CD,F15,16-Feb-2021,27,23:53,11,75 (I) e 76 (P),-3.87026,-32.43882,BRA 27940,BRA 27941,NA,NA,NA,101.2,94.1,SIM,16/02/21- BRA 27940/BRA 27941,P,NA,NA,NA,A,76,0,-3.87006,-32.43785,09-Apr-2021,10-Apr-2021,SU,36,0,28,64,NAO,,52,56.3,GPS 11 - 075 (I) e 076 (P) - F15. Marca BRA 27941 colocada na axila nad direita. Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva.  
63,Leao,ML,NA,17-Feb-2021,NA,NA,11,77,-3.86941,-32.43516,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 077. Ocorrência antes das 20:00.
64,Leao,SD,F16,17-Feb-2021,NA,20:15,11,78,-3.87005,-32.43937,BRA 27942,BRA 27943,NA,NA,NA,105.9,100,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 078 - F16 (pintada). Foto ID ok. Protuberância na parte proximal da nadadeira esquerda (foto). 
65,Leao,ML,F11,17-Feb-2021,NA,0:10,11,80,-3.86990,-32.43768,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 080 - F11 (estava pintada do lado direito). F11 (BRA 27923/ BRA 27924) marcas não conferidas, tartaruga entrando na água. "
66,Leao,ML,F10,17-Feb-2021,NA,0:11,11,79,-3.87002,-32.43713,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 079 - F10 (BRA 06231/ BR 77094) marcas não conferidas, tartaruga entrando na água.  "
67,Leao,ML,NA,17-Feb-2021,NA,NA,11,81,-3.87041,-32.43801,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 081. Ocorrência entre 00:20 e 1:20.
68,Leao,ML,NA,17-Feb-2021,NA,NA,11,82,-3.87039,-32.43810,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 082. Ocorrência entre 00:20 e 1:20
69,Leao,CD,F5,18-Feb-2021,28,20:09,10,78,-3.86971,-32.43707,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,896691,18-Feb-2021 21:25,10-Apr-2021 00:55,NA,NA,NA,NA,NA,09-Apr-2021,09-Apr-2021,SU,92,1,10,103,SIM - 92 filhotes,92,50,89.3,GPS 10 - 078 - F5 (esmalte retocado).
70,Leao,ML,NA,18-Feb-2021,NA,NA,10,79,-3.86945,-32.43530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 079. Ocorrência entre 21:20 e 22:40.
71,Leao,ML,NA,18-Feb-2021,NA,NA,10,80,-3.86945,-32.43514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 080. Ocorrência entre 21:20 e 22:40.
